generation,best_fitness,mean_fitness,best_macro_f1_val,best_recall_high_val,best_interpretability_penalty,best_deviation_penalty
180,0.4100454081009265,0.41001259730418255,0.5042042612066528,0.275,0.0001392577947997509,0.012246485320526522
181,0.4100464002230229,0.4100150020528684,0.5042042612066528,0.275,0.0,0.012380782504844234
182,0.4100500621113477,0.41002114567648384,0.5042042612066528,0.275,0.0,0.012362473063220152
183,0.4100800034612567,0.41002821597106337,0.5042042612066528,0.275,0.0,0.012212766313675058
184,0.41009857518829457,0.4100321962931847,0.5042042612066528,0.275,0.0,0.01211990767848573
185,0.41010531753911766,0.4100408914278827,0.5042042612066528,0.275,0.0,0.012086195924370359
186,0.41010531753911766,0.4100465053928271,0.5042042612066528,0.275,0.0,0.012086195924370359
187,0.41010531753911766,0.410052993646404,0.5042042612066528,0.275,0.0,0.012086195924370359
188,0.41010531753911766,0.4100574432669118,0.5042042612066528,0.275,0.0,0.012086195924370359
189,0.41010531753911766,0.41006573648256545,0.5042042612066528,0.275,0.0,0.012086195924370359
190,0.41011608050003606,0.41007430828208974,0.5042042612066528,0.275,0.0,0.01203238111977833
191,0.41011608050003606,0.41007795230667027,0.5042042612066528,0.275,0.0,0.01203238111977833
192,0.41011608050003606,0.4100832052841962,0.5042042612066528,0.275,0.0,0.01203238111977833
193,0.41013059642392274,0.41008838574852274,0.5042042612066528,0.275,0.0,0.011959801500345096
194,0.41013059642392274,0.41009269591638503,0.5042042612066528,0.275,0.0,0.011959801500345096
195,0.41015482725309754,0.41009857404934114,0.5042042612066528,0.275,4.72180319535356e-13,0.011838647353998987
196,0.41015482725309754,0.410101745135077,0.5042042612066528,0.275,4.72180319535356e-13,0.011838647353998987
197,0.4101705428150405,0.41010517855309364,0.5042042612066528,0.275,6.793702702415488e-13,0.011760069544076834
198,0.4102008337733666,0.4101098667971708,0.5042042612066528,0.275,0.0,0.011608614753125683
199,0.4102008337733666,0.4101151433463504,0.5042042612066528,0.275,0.0,0.011608614753125683
200,0.4102008337733666,0.4101217062219223,0.5042042612066528,0.275,0.0,0.011608614753125683
